0,8698;0,0250
0,0003;0,2591
0,0384;0,2342
0,9853;0,0019
0,0000;0,4453
0,4208;0,0595
0,0666;0,5432
0,0004;0,2169
0,0017;0,2035
0,1422;0,0691
0,0001;0,3493
0,0279;0,1190
0,2866;0,0902
0,0010;0,2246
0,8554;0,1382
0,0466;0,0998
0,0000;0,6372
0,0025;0,1881
0,9881;0,0019
0,9759;0,0019
0,0975;0,0633
0,0462;0,4242
0,0000;0,3628
0,7821;0,0154
0,9830;0,0019
0,8978;0,0019
0,4168;0,0288
0,8231;0,0115
0,9099;0,0019
0,9116;0,0019
0,9081;0,0019
0,0002;0,3455
0,4759;0,1555
0,0152;0,1977
1,0000;0,0921
0,8934;0,1363
0,0055;0,1766
0,0025;0,2035
0,9004;0,0134
0,6733;0,0595
0,0041;0,2054
0,2831;0,0672
0,0497;0,0921
0,9513;0,0019
0,0029;0,1171
0,7794;0,0154
0,4414;0,0269
0,2527;0,0365
0,0746;0,0729
0,6108;0,0173
0,0596;0,2073
0,0413;0,2284
0,6878;0,0576
0,1941;0,0729
0,0037;0,1977
0,0000;0,4376
0,0000;0,4050
0,1237;0,0902
0,0000;0,3205
0,1794;0,1267
0,8497;0,0096
0,0114;0,1574
0,1321;0,0633
0,9279;0,0038
0,0001;0,4146
0,4637;0,0710
0,1735;0,2514
0,0192;0,1324
0,0016;0,2879
0,0151;0,1056
0,8490;0,0096
0,9606;0,0038
0,1263;0,0499
0,9428;0,0038
0,7263;0,6833
0,7799;0,0154
0,9840;0,0019
0,9609;0,0038
1,0000;0,1248
0,8706;0,0096
0,0024;0,2035
1,0000;0,1843
0,1938;0,0806
0,0009;0,2188
0,1285;0,1593
0,6048;0,0480
0,0000;0,5278
0,0611;0,0595
0,8792;0,0230
0,0005;0,2226
0,9734;0,0019
0,9517;0,0019
0,5862;0,0710
0,8603;0,0518
0,9611;0,0038
0,0251;0,1804
0,7349;0,1267
0,1427;0,0461
0,8765;0,1056
0,0971;0,1152
0,9603;0,0077
1,0000;0,1766
0,0001;0,2591
0,0494;0,1420
0,5005;0,0192
0,1359;0,0461
0,8293;0,0115
0,9529;0,0019
0,5725;0,0288
0,8210;0,0134
0,0018;0,2726
0,4106;0,0211
0,9830;0,0019
0,0014;0,1862
0,8425;0,0096
0,0000;0,2956
0,0160;0,1536
0,1133;0,0480
0,0043;0,1785
0,9805;0,0019
0,3030;0,0787
0,0003;0,2092
0,0270;0,1344
0,0000;0,3877
